pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
SL,9/28/2017,89.5,2.0682,6.1177,Giancarlo Stanton,519317,571521,home_run,hit_into_play_score,,,,,8,Giancarlo Stanton homers (59) on a fly ball to left center field.   Dee Gordon scores.  ,R,R,L,MIA,ATL,X,null,fly_ball,0,0,2017,-0.1303,-0.2101,-0.1993,2.2053,null,null,543829,2,8,Bot,1,46.59,,,452095,,170929_020346,-5.2404,-130.1155,-3.2799,-0.5507,22.3877,-34.166,3.6318,1.602,467,118.7,22.736,88.69,2173,5.433,492474,571521,452095,518692,645277,611177,621020,572669,542255,455976,55.0652,0.982,1.948,2,1,0,3,6,68,1
CU,9/28/2017,72.5,-1.9953,5.1623,Giancarlo Stanton,519317,527054,home_run,hit_into_play_score,,,,,8,Giancarlo Stanton homers (58) on a fly ball to left center field.  ,R,R,R,MIA,ATL,X,null,fly_ball,0,0,2017,1.2631,-0.395,0.2128,2.1402,null,null,null,2,4,Bot,59.24,32.39,,,452095,,170929_004604,2.2895,-105.2166,2.0929,8.5944,20.1215,-35.6884,3.6324,1.6027,422,109.2,30.584,70.953,2694,5.518,492474,527054,452095,518692,645277,611177,621020,572669,542255,455976,54.9802,0.968,1.927,2,1,0,3,6,36,1
CU,9/23/2017,76.1,-1.7136,6.5838,Giancarlo Stanton,519317,592836,home_run,hit_into_play_score,,,,,5,Giancarlo Stanton homers (57) on a line drive to left field.  ,R,R,R,ARI,MIA,X,null,line_drive,1,1,2017,0.9149,-0.741,0.1186,2.1204,null,null,null,2,4,Top,50.52,37.41,,,null,,170924_013612,2.2277,-110.7218,-1.0562,6.9849,18.8187,-38.1983,3.4921,1.4627,419,116.7,17.908,75.331,2263,5.623,492410,null,null,null,null,null,null,null,null,null,54.8767,0.853,1.456,2,1,0,3,6,36,3
CU,9/20/2017,78.2,-1.3916,6.0983,Giancarlo Stanton,519317,592340,home_run,hit_into_play_score,,,,,5,Giancarlo Stanton homers (56) on a line drive to left center field.   Dee Gordon scores.  ,R,R,R,MIA,NYM,X,null,line_drive,1,1,2017,0.7291,-0.938,0.1461,2.4083,null,null,543829,1,8,Bot,50.63,47.1,,,608700,,170920_193537,1.9812,-113.5555,0.6901,5.7138,23.5274,-40.4715,3.6325,1.6027,399,116.7,17.422,76.915,2221,5.777,492373,592340,608700,642086,595943,452678,408314,607043,493114,607369,54.7213,0.822,1.347,2,1,0,3,6,68,3
SL,9/18/2017,89.5,-1.4171,5.7694,Giancarlo Stanton,519317,518774,home_run,hit_into_play_score,,,,,4,Giancarlo Stanton homers (55) on a line drive to center field.   Dee Gordon scores.    Tomas Telis scores.  ,R,R,R,MIA,NYM,X,null,line_drive,1,0,2017,0.4057,-0.0223,-0.3812,2.9884,null,543829,542513,0,4,Bot,100.92,6.98,,,518595,,170919_004101,1.7093,-130.3502,-0.9286,4.3673,22.689,-32.4514,3.656,1.677,455,114.2,17.321,90.126,2284,6.238,492346,518774,518595,642086,608325,452678,408314,607043,501571,493114,54.2601,0.881,1.331,2,1,0,3,6,39,2
FF,9/9/2017,91.9,1.8066,5.7643,Giancarlo Stanton,519317,608331,home_run,hit_into_play_score,,,,,8,Giancarlo Stanton homers (54) on a fly ball to center field.  ,R,R,L,ATL,MIA,X,null,fly_ball,2,1,2017,0.3529,1.0613,-0.184,1.7951,null,null,null,1,1,Top,95.63,7.51,,,435559,,170909_231239,-5.7676,-133.3353,-6.4298,5.4139,28.3762,-18.4362,3.319,1.513,456,113.7,27.563,91.486,2011,6.174,492222,608331,435559,518692,645277,622666,621020,461314,542255,572669,54.3273,0.992,1.98,2,1,0,3,6,2,4
FT,9/4/2017,96,-2.6388,5.7724,Giancarlo Stanton,519317,595918,home_run,hit_into_play_score,,,,,2,Giancarlo Stanton homers (53) on a fly ball to right field.  ,R,R,R,MIA,WSH,X,null,fly_ball,2,2,2017,-1.1344,1.127,0.2141,3.2343,null,null,null,1,5,Bot,229.13,87.35,,,446308,,170905_005003,10.1082,-139.1512,-3.6193,-17.0927,31.94,-16.8798,3.6341,1.6045,357,98.9,34.132,95.862,2264,6.468,492162,595918,446308,475582,502517,543685,607208,435062,572191,150029,54.0301,0.374,0.704,2,1,0,3,5,42,5
FF,9/2/2017,92.3,-1.931,4.9624,Giancarlo Stanton,519317,605400,home_run,hit_into_play_score,,,,,7,Giancarlo Stanton homers (52) on a fly ball to center field.  ,R,R,R,MIA,PHI,X,null,fly_ball,1,1,2017,-0.8165,1.1909,-0.5354,2.0625,null,null,null,1,1,Bot,81.06,15.16,,,519237,,170902_232219,5.4321,-134.1781,-4.2397,-11.2765,29.4769,-16.7191,3.7123,1.7801,445,115.3,30.695,93.394,2155,7.015,492128,605400,519237,571830,514917,596748,520471,656555,465753,608384,53.4831,0.982,1.956,2,1,0,3,6,5,3
SL,8/29/2017,85,-1.5841,6.2888,Giancarlo Stanton,519317,429719,home_run,hit_into_play_score,,,,,8,Giancarlo Stanton homers (51) on a fly ball to left center field.  ,R,R,R,WSH,MIA,X,null,fly_ball,1,1,2017,0.2541,0.2278,0.0179,2.3984,null,null,null,1,1,Top,46.58,29.2,,,446308,,170829_233313,3.2355,-123.499,-3.2087,1.9139,25.197,-29.4439,3.7979,1.8977,440,112.8,24.187,84.526,2436,6.11,492069,429719,446308,475582,502517,543685,607208,452252,457477,594694,54.387,0.997,1.962,2,1,0,3,6,2,3
SL,8/27/2017,82.4,3.6229,5.5061,Giancarlo Stanton,519317,453385,home_run,hit_into_play_score,,,,,7,Giancarlo Stanton homers (50) on a fly ball to center field.   Dee Gordon scores.  ,R,R,L,MIA,SD,X,null,fly_ball,2,1,2017,0.2796,-0.1371,-0.379,2.0067,null,null,543829,0,8,Bot,118.44,14.58,,,595978,,170827_192522,-9.4425,-119.2962,-1.0775,4.4932,24.0027,-33.4928,3.8388,1.744,425,112.2,20.353,80.834,2340,5.6,492048,453385,595978,571976,641319,500208,543038,517369,519333,518466,54.8978,0.95,1.689,2,1,0,3,6,62,4
